monday,events
1406505600000000,2143938
null,764876
1399248000000000,2543183
1396828800000000,2455626
1397433600000000,2469677
1403481600000000,2413429
1398038400000000,2562797
1401667200000000,2421765
1401062400000000,2327573
1394409600000000,2401240
1393804800000000,2391377
1402876800000000,2362856
1402272000000000,2320739
1405296000000000,2444103
1395014400000000,2405453
1399852800000000,2484650
1398643200000000,2380083
1404086400000000,2273850
1400457600000000,2519577
1405900800000000,2594057
1395619200000000,2269753
1404691200000000,2447621
1396224000000000,2431563
1390780800000000,2120556
1359331200000000,1263836
1334534400000000,2504184
1352678400000000,1061911
1363564800000000,1454127
1361750400000000,1365281
1335744000000000,2374662
1372032000000000,1552853
1349049600000000,925037
1349654400000000,988019
1365984000000000,1468677
1373846400000000,1546669
1369008000000000,1446894
1336953600000000,2310900
1336348800000000,2396085
1362960000000000,1399044
1331510400000000,2330814
1347840000000000,945509
1347235200000000,1388177
1348444800000000,964841
1356307200000000,734476
1356912000000000,885274
1341792000000000,2202436
1342396800000000,1630100
1332720000000000,2711850
1350259200000000,1016923
1362355200000000,1413852
1375660800000000,1546763
1344211200000000,1740790
1345420800000000,3546384
1343606400000000,1663890
1360540800000000,1417900
1354492800000000,1154872
1346630400000000,1807822
1344816000000000,1859818
1367193600000000,1380903
1370822400000000,1408970
1335139200000000,2469192
1333929600000000,2445108
1376265600000000,1494379
1353283200000000,1059802
1353888000000000,1192382
1361145600000000,1375187
1355097600000000,1091104
1339372800000000,2105322
1338768000000000,2503476
1350864000000000,1010885
1332115200000000,2775201
1385337600000000,1846778
1372636800000000,1421955
1355702400000000,977863
1390176000000000,2118830
1370217600000000,1485634
1365379200000000,1494970
1338163200000000,2509485
1337558400000000,2451609
1364169600000000,1444466
1364774400000000,1458652
1368403200000000,1431435
1382313600000000,1878328
1382918400000000,1935019
1379894400000000,1728839
1346025600000000,3159208
1366588800000000,1536638
1369612800000000,1434222
1333324800000000,2549877
1375056000000000,1531083
1357516800000000,1152232
1377475200000000,1614281
1385942400000000,2037405
1384732800000000,2063476
1343001600000000,1608564
1358121600000000,1178827
1371427200000000,1485734
1367798400000000,1426674
1391990400000000,2234570
1388966400000000,1983329
1393200000000000,2378879
1379289600000000,1610145
1339977600000000,1703772
1351468800000000,1007461
1358726400000000,1274560
1381708800000000,1848271
1341187200000000,1731840
1340582400000000,1745226
1381104000000000,1808820
1380499200000000,1808386
1378080000000000,1168818
1391385600000000,2280340
1373241600000000,1547010
1359936000000000,1287475
1384128000000000,2044713
1383523200000000,1949956
1330905600000000,195561
1378684800000000,1701760
1376870400000000,1646548
1374451200000000,1504343
1392595200000000,2259230
1386547200000000,2008669
1352073600000000,1064921
1387756800000000,1313658
1387152000000000,1833668
1388361600000000,1487147
1389571200000000,2068851
